Tweets,Category
"b'@anshulpande Hi Anshul, I would like to inform you  that, we are working on your concern and will be sharing a reso... https://t.co/X9058n8YYK'",finance
"b'@1Amit_V  Hi Amit,  I would like to inform you that, we do not share policy related information to third party. Hen... https://t.co/BJGVCfa09Y'",finance
"b'@SasteSuhas  Further, I would like to inform you that premium receipt has been sent on registered email Id on July... https://t.co/9ijAQPNpeX'",finance
"b'@SasteSuhas Hi Suhas, we request you to not put any policy related information on public profiles. This is to keep... https://t.co/E6x1XLnTyZ'",finance
"b'@TEAM4INDIA  Hi Vimal, I would like to inform you that, the case is registered with us SR No. 1-25386495972. Post a... https://t.co/JFCr0Xys8Y'",finance
"b'@SasteSuhas Hi Suhas, regret for inconvenience cause to you in this regard. Kindly help us with your HDFC Life poli... https://t.co/CTIrQ60ABB'",finance
"b'@TEAM4INDIA  Hi Vimal, response has been shared via DM, kindly check the same.'",finance
"b'@Sarangajyoti_g Hi Saranga, as your concern is related to HDFC Ergo policy, kindly get in touch with them for resolution.'",finance
"b'@SunnyPrakash025  Hi Sunny, thank you for your feedback. Post sending the requirement do let us know for the same.'",finance
"b'@Sarangajyoti_g Hi Saranga, regret for inconvenience cause to you in this regard. As your concern is related to HDF... https://t.co/UHZnRCHnST'",finance
"b'@anshulpande Also, I would like to inform you that all terms and condition are in mention in policy documents.n/n.'",finance
"b'@anshulpande Hi Anshul, as you have written to our service email id and response has been already shared by our tea... https://t.co/mYT1BaIynr'",finance
"b'@rajinde68481130 Hi Rajinder, if you do not wish to receive the policy related SMS/call or all services; you can ac... https://t.co/GITu1ZYm5N'",finance
"b'@SubrataDey1  Hi Subrata, regret for inconvenience cause to you in this regard. I will check the details and update you on the same.'",finance
"b'@wordsatul Hi Atul, kindly confirm the concern is related to HDFC Bank or HDFC Life?'",finance
"b'@Sarangajyoti_g Hi Saranga, regret for inconvenience cause to you in this regard. Kindly help us with your HDFC Lif... https://t.co/oR1iUFeHG1'",finance
"b'@JYOTHISH1992  Hi Jyothish, thank you for your feedback.'",finance
"b'@sndpsharma8316  Hi Sandeep, I will  check the details and update you on the same.'",finance
"b'@lkhurana6  Hi Lalit, as you have sent email on service Id, our team will check and post assessment response will be shared with you.'",finance
"b'@Jyotish92302658  Hi Jyoti, if you have any unresolved issue with respect to your HDFC Life policy. Kindly write to... https://t.co/wo7vBLfLpW'",finance
"b'@manish2bhandari   Hi Manish, as you have written you our service Id, our team will check and post assessment respo... https://t.co/mCzpyG42iu'",finance
"b'@kuch_shabd_rt Hi Rahul, regret for inconvenience cause to you in this regard. Kindly help us with your HDFC Life p... https://t.co/c6b43iUH6R'",finance
"b'Mausam mastana, rasta anjaana!  \nNothing like classic hindi songs to help you get over #MondayBlues. Which one is... https://t.co/p6OeVpR6GZ'",finance
b'@RajpurohitGJ27 The refund has been authorized on 14th July 2017. The refund will be credited to your account in next 7- 10 working days.',finance
"b'@aniljothomas Hi Anil, I would like to inform you that we require the NACH  Mandate form for activation of auto deb... https://t.co/Yfw7KwO6UD'",finance
"b""RT @terriblytiny: Karthik Shivaram writes a #Collaboration [ open letter ] 'DEAR UNCLE'\n\nhttps://t.co/HRq218on5l\n\nWith HDFC Life (@hdfclife...""",finance
"b""I don't know about you guys, but I was rooting for both of them! Congratulations #France and #Crotia for giving us... https://t.co/qDCxxTj85m""",finance
"b'@heruvala  Hi Sagar, if you have any unresolved issue with respect to your HDFC Life policy. Kindly write to us at... https://t.co/SieFDxRGfB'",finance
"b'@anshu4narang Hi Anshu, kindly help us with your HDFC Life policy no. via DM to check the  details.'",finance
"b'@yadavbabulal85  Hi Babulal, kindly confirm when the same was written to escalation Id.'",finance
"b'@Aasesh_Gupta1 Alternatively, policyholder can connect with our contact center on 1860-267-9999 (local charges appl... https://t.co/JzdLmoc4X6'",finance
"b'@Aasesh_Gupta1  Hi Venkata, I would like to inform you that, we do not share policy related information to third pa... https://t.co/jNV3WR4cpR'",finance
"b'@yadavbabulal85  Hi Babulal, have you written your email to service Id? If yes, please help us with interaction Id to check the details.'",finance
"b'@pdvsatish  Hi Satish, kindly share your HDFC Life policy no. or interaction Id to check the details.'",finance
"b'@Aasesh_Gupta1 Hi Venkata, kindly help with  you HDFC Life policy or interaction Id via DM to check the details.'",finance
"b'@bkj_thevonbraun  Hi Bala, please download change in personal or policy details form under policy servicing request... https://t.co/LZqDjDDlMA'",finance
"b'@StarMVerma  Hi Tara, as stated earlier your concern is related to HDFC Bank, kindly contact the bank for resolution.'",finance
"b'@akashsahu86 Hi Akash, we request you to not put any policy related information on public profiles. This is to keep... https://t.co/xgyperXZfG'",finance
"b'@Aasesh_Gupta1  Hi Venkata, if you have any unresolved issue with respect to your HDFC Life policy. Kindly write to... https://t.co/S2zBAlbNyS'",finance
"b'@manish2bhandari  Hi Manish, if you have any unresolved issue with respect to your HDFC Life policy. Kindly write t... https://t.co/DjN3fp6SMv'",finance
"b'@TheBurningRock  Hi Sitaram , response  has been shared via DM, kindly check the same.'",finance
"b'@StarMVerma  Hi Tara, please get in touch with HDFC Bank at support@hdfcbank.com / talktous@hdfcbank.com for speedy resolution .'",finance
"b'@bkj_thevonbraun  Further, you can download Change in personal or policy details form under policy servicing reques... https://t.co/jmqNTAgAoA'",finance
"b'@bkj_thevonbraun 1.Hi Bala, I would like to inform you that kindly provide NOC from assignee on Letter head for alteration in policy. 1/n.'",finance
"b'@JYOTHISH1992  Hi Jyothish, I would like to inform you that we have received the balance premium for aforesaid poli... https://t.co/Yvjex6px14'",finance
"b'@CSyamK Hi Syam, regret for inconvenience cause to you in this regard. Kindly help us with your HDFC Life policy no. via DM to assist you.'",finance
"b'@StarMVerma Hi Tara, as your concern is related to HDFC Bank, kindly contact the bank for prompt resolution.'",finance
"b'@atulpratapsingh  Hi Atul, regret for inconvenience cause to you in this regard. I will check the same and update you.'",finance
"b'@anshulpande Hi Anshul, kindly share your interaction Id to check the details.'",finance
"b'@StarMVerma  Hi Tara, kindly confirm the concern is related to HDFC Bank or HDFC Life?'",finance
"b'@SunnyPrakash025  Hi Sunny,  I would like to inform you that response has been shared on registered email Id via in... https://t.co/e3Q1uof81z'",finance
"b'@lovingnals4u  Hi Naval, thank you for patience. I would like to inform you that response has been shared on regist... https://t.co/GTFlrLKE0j'",finance
"b'@lkhurana6  Hi Lalit, kindly write to us at service@hdfclife.com from your registered Id to have the same addressed.'",finance
"b'@rightpmc  Hi, thank you for your patience. We are working on your concern and will be sharing a resolution at the earliest.'",finance
"b""You don't need luck if you have a plan! #FridayThe13th #TGIFWithCaptainLife""",finance
"b'Amazing technique saving your best for the last stretch. Congratulations, #HimaDas, you have made all proud!'",finance
b'#ICICIAcademyForSkills free course in dairy farming helped K.Swamy succeed. #ICICIDigitalVillages. Watch his motiva... https://t.co/SKzzeUAqmH',finance
b'#ICICIBank helps customers to reload their travel card digitally with foreign currency using its internet and mobil... https://t.co/ERgKbFfAEn',finance
b'You can now send money to your near and dear ones in India through social media with the Social Pay feature on th... https://t.co/E03Vu17Z0T',finance
b'Imran Mohammed could fulfill his dreams with the help of #ICICIBankAcademyForSkills. He now aspires to start his ow... https://t.co/WUyjlVkd25',finance
"b""#ICICIBank has tied-up with Austrialia's Westpac Banking Corporation to facilitate online fee payments by Indian st... https://t.co/4UUiOSEvf5""",finance
b'Now get all your tax related queries answered on https://t.co/7LxnPPOjyB  and also save 200 on tax filing services... https://t.co/3xJb6A9uUh',finance
b'#JustIn: #ICICIBank crosses milestone of supporting 17 lakh women beneficiaries in Tamil Nadu through its Self Help... https://t.co/y57ZlLJNOr',finance
b'Shopping is the best stress-buster! Shop using your #ICICIBank credit card at DLF Shopping malls and avail 10% cash... https://t.co/lqWDSO2id1',finance
b'It is always best to ignore URLs that appear suspicious. Practice #SafeBanking with #ICICIBank. #iPledgeSafeBanking... https://t.co/rYG9bVZhL0',finance
"b'With a different exciting offer every day of the week, #ICICIBank credit and debit cards let you earn as you shop.... https://t.co/BV5yu29KxZ'",finance
b'Worried about your financial goals going off the track? With #ICICIBank #MoneyCoach you can now track them real tim... https://t.co/zI2gUzefeg',finance
"b'Giving wings to the dreams that deserve to come true, #ICICIAcademyForSkills initiative provides free of cost skill... https://t.co/YtfROWKQDR'",finance
"b""#ICICIBank's mortgage portfolio crosses Rs 1.5-trillion and the bank now aims to grow its home loan book to Rs 2 tr... https://t.co/x2dWnZrLHs""",finance
"b'Cant wait to make your travel plan work? Book your domestic flights on https://t.co/ACHkkgrjiX today, using... https://t.co/zvfCwbHKh6'",finance
"b'Step up your style quotient with #ICICIBank and Jabong, #ThisMonsoon! Get flat 25% off at https://t.co/9GY8GlpLAw u... https://t.co/HzYRzIgjEA'",finance
b'It is a good practice to delete junk mails and chain mails. Practice #SafeBanking with #ICICIBank.... https://t.co/Om8NGRqUqI',finance
"b'Scan barcodes to raise invoices instantly, track inventory, draw insights on sales, track products sold to customer... https://t.co/sk4TZDuWNj'",finance
b'Why visit the branch when you can easily place a request for a new cheque book with #ICICIBank? Simply login to you... https://t.co/5d9HMs3UaH',finance
b'#GreenTuesdays are back! Shop for your grocery needs today on https://t.co/ZrdM1GRzya and avail 225 off on using y... https://t.co/qY1HWZO4LF',finance
"b'Now, efficiently manage your money for life with #ICICIBank #MoneyCoach, available on the iMobile app. From definin... https://t.co/5zg0dZL7To'",finance
b'Banking is now at your fingertips with the #ICICIBank #iMobile app! Make financial transactions at your convenience... https://t.co/OlwhmhyVOr',finance
b'No dream is too big to accomplish with #ICICIBankAcademyForSkills. Imran Mohammed aspires a better future for his k... https://t.co/BMXRYe0X3e',finance
b'#ICICIBank enables customers to reload their travel card digitally with foreign currency using internet and mobile... https://t.co/p3pyTvK8Lp',finance
"b'Watch how #ICICIBank has transformed 100 villages in India by enabling digital banking transactions, providing skil... https://t.co/EtdjWnWVCt'",finance
b'Planning to take your family for a memorable vacation? Book your flights now on https://t.co/qlxMuyJtHc &amp; get 10% o... https://t.co/YtlwOf2Fhf',finance
b'The special ones are meant for special gifts! #SendAGift now to your loved ones using #ICICIBank Memento Gift Card... https://t.co/TcJKZ3zQTi',finance
"b'Hotel bookings are no more a worry! With Treebo, you can now avail a flat 25% discount on using your #ICICIBank int... https://t.co/OzOX68LKpX'",finance
"b'Tax2Win takes care of your day-to-day tax-related queries, filing returns and much more. Use your #ICICIBank cards/... https://t.co/bepkm4EyHp'",finance
b'Make an online overseas fund transfers using #ICICIBank #Money2World service and get an Amazon gift voucher worth u... https://t.co/I51w83rR7Q',finance
"b""#ICICIBank and Australia's @Westpac come together to facilitate online fee payment for Indian students.... https://t.co/LvZe1Rk1MP""",finance
b'#ICICIBank Social Pay allows NRIs to remit money to India through social media. Read more: https://t.co/Th9e2DCMir',finance
"b'Now, submit your Form 15G/15H from the comfort of your home/office using #ICICIBank internet banking/iMobile app! K... https://t.co/0m9ZE3KFva'",finance
"b'Empower yourself financially by availing #ICICIBank #MoneyCoach, a personal financial management platform that assi... https://t.co/VM87fbZlse'",finance
"b'When it comes to your mobile banking security, you can bank on #ICICIBank. Watch how the sophisticated safety featu... https://t.co/0f5RkDL1yz'",finance
b'#ICICIBank has successfully on-boarded over 250 corporates on its blockchain platform. Know more on: https://t.co/AK1ISrHpij',finance
"b'Here we go! Congratulations @EkAurDoZ, @jyotjag, @chidiya_tweets, @IamSmirza, @stopthestart, @rsairajeswari,... https://t.co/t9x3a2Tr4O'",finance
b'Hello tweeps! Its time to beat the #MondayBlues with some eagerly awaited results. The winners of the... https://t.co/Dk3rdbxq7g',finance
"b'Kick away your #MondayBlues with #ICICIBank, #ThisMonsoon! Get amazing deals on flights and bus tickets on... https://t.co/u8gKtLdM0P'",finance
b'Watch how #ICICIBank has impacted the lives of over 17 million individuals through its various CSR initiatives https://t.co/jhAsln7d7m',finance
"b'Hajara proudly shares, how the #ICICIAcademyForSkills helped her inch closer towards her dreams &amp; encouraged her to... https://t.co/NpcMe26VMf'",finance
b'#ICICIAcademyForSkills free course in dairy farming helped K.Swamy succeed. #ICICIDigitalVillages. Watch his motiva... https://t.co/pddisz89TZ',finance
"b'Giving wings to the dreams that deserve to come true, #ICICIAcademyForSkills initiative provides free of cost skill... https://t.co/updKUJ7jzj'",finance
b'Roshan recounts how the skill training he received at the #ICICIAcademyForSkills made him more confident and self-r... https://t.co/xfgAkGVPIk',finance
"b'From making a living through doing odd jobs to becoming a skilled individual, Sachin Chavan has come a long way. He... https://t.co/LCmrCAj8Gz'",finance
b'Lata could not support her son and herself. A loan to her Self Help Group helped her set up her own business of sel... https://t.co/QFfV4QURyI',finance
b'Wondering where the deliverables dispatched by your bank have reached? Simply log on to your #ICICIBank netbanking... https://t.co/J9SrAVCb7P',finance
b'Give your travel budget a boost by opting for a quality hotel at the best price on https://t.co/vlGSCFESdJ! Book yo... https://t.co/6uVH7O3U6C',finance
"b'From the snowy peaks of the north, to the backwaters of the south, #ThisSummer, explore India like you have never d... https://t.co/PLr50KrZvO'",finance
"b'No matter what day of the week it is, with #ICICIBank you will never be short on exciting offers and discounts. Wat... https://t.co/vcdWKi03K8'",finance
b'Keep your contact details updated at all times to protect yourself from fraudulent activities. Practice... https://t.co/AwS3jGU454',finance
"b""'Social Pay', an #ICICIBank initiative lets NRIs send money to their friends and family in India using social medi... https://t.co/0vStE45WZc""",finance
b'Watch how #ICICIBank has impacted the lives of over 17 million individuals through its various CSR initiatives https://t.co/jhAslnoNYU',finance
"b'Its Saturday, and heres your chance to put on the chefs hat. Try out unique delectable recipes and fresh ingredi... https://t.co/MtZBXnWRM5'",finance
"b'#ThisWeekend, shop till you drop without straining your pockets! Enjoy #WeekendSpecials discounts on top brands lik... https://t.co/0QuBN5beXh'",finance
"b'The free course in paint application that Arjun pursued at the #ICICIAcademyForSkills, helped him achieve his dream... https://t.co/rE61txByJI'",finance
"b'Save now, cherish later! Shop for a refrigerator or an oven with Croma by opening a Croma Delightful Deposit accoun... https://t.co/4PijKCjIa1'",finance
b'Reload foreign currency instantly using #ICICIBank internet banking platform or iMobile when travelling abroad. Rea... https://t.co/8nPkWNPnuy',finance
b'With #ICICIBank iMobile app you can avail over 150+ banking and informational services to take care of your daily b... https://t.co/clYom0qBd8',finance
b'Do your first mobile recharge using #ICICIBank #iMobile app and get an instant discount of 25! Use code: MOBFIRST... https://t.co/XTg8RiuJZz',finance
b'Are you looking for a getaway #ThisWeekend? Travel anywhere in India with https://t.co/Ac7V8Htd6z  and avail a 15%... https://t.co/1m5dWNozUg',finance
b'Keziah remembers how #ICICIAcademyForSkills transformed her life and helped her get closer to her dreams. Know her... https://t.co/TiXivOqqhU',finance
"b""#ICICIBank and Australia's @Westpac join hands to facilitate online fee payment for Indian students.... https://t.co/ABKDCv3kgH""",finance
b'Staying cautious and alert while banking safeguards you from potential fraudulent attacks! Follow these... https://t.co/JBXPLDmUBM',finance
b'#ICICIBank Eazypay app enables retailers &amp; professionals to collect payments through multiple digital modes includi... https://t.co/M2W5Axb3kh',finance
b'Dining out #ThisFriday? Enjoy a #FoodieFriday feast at over 2500 restaurants across India with your #ICICIBank Pock... https://t.co/xxvjDYh727',finance
"b'Breaking all the barriers and overcoming the challenges, Sunita worked hard and set up her home. She now aspires to... https://t.co/nvXmPBVVCK'",finance
b'Make your loved ones feel special with #ICICIBank Memento Gift card! #SendAGift to your loved ones now:... https://t.co/YmtcMUu0gV',finance
b'Save TDS on term deposit interest by easily submitting your form 15G/15H  from the comfort of your home using... https://t.co/oJewVyTFlA',finance
"b'With #ICICIBank digital application form, one can open a current account in just a few hours.... https://t.co/Z84qdRkuWg'",finance
"b'Looking for a smarter, cost effective, convenient and secure alternative for carrying foreign currency? Get yoursel... https://t.co/g7ok4nazFm'",finance
b'Hello globetrotters! Book your stay for your #MonsoonGetaway today on https://t.co/vlGSCFWtCj and get 25% off on us... https://t.co/aFattmRHN8',finance
"b'Now, make your overseas fund transfers using #ICICIBank #Money2World service and get an Amazon gift voucher worth u... https://t.co/OSDE2Zgkkn'",finance
b'Thursdays are now even more exciting with #ICICIBank #ElectroThursdays! Buy your favourite gadget from @cromaretail... https://t.co/j94J34AbDh',finance
b'Priyanka fondly recollects how the #ICICIAcademyForSkills strengthened her skills and boosted her confidence.... https://t.co/cEZAAPKLIr',finance
b'No dream is beyond your reach when you have an iWish Flexible Deposit account with #ICICIBank! Simply deposit any a... https://t.co/fpNgJeGS7O',finance
"b""We are delighted to share that #ICICIBank has emerged as the clear 'leader' in a report published by Forrester, a m... https://t.co/HOX0I2CxYH""",finance
b'Mails from unknown senders can be a potential threat or a scam. Stay vigilant and practice #SafeBanking. Know all a... https://t.co/CjGww1woUx',finance
b'Mails from unknown senders can be a potential threat or a scam. Stay vigilant and practice #SafeBanking. Know all a... https://t.co/pnEjBVB3Kv',finance
"b""#ICICIBank and Australia's @Westpac have come together to facilitate online fee payment for Indian students.... https://t.co/pIO3NuUPUn""",finance
"b""RT @TimesNow: TIMES NOW and ICICI Bank jointly hosted the fifth edition of 'Times Now ICICI Bank NRI of the Year Awards, this season was or...""",finance
b'Cant decide what to have for lunch? How about an appetising meal package from https://t.co/MdBtTFKiLI? Place an or... https://t.co/saZID7VBpM',finance
"b""RT @KirenRijiju: I'm happy to be part of #NRIofTheYear2018 awards event at Mumbai. We are proud of the Persons of Indian origin for their a...""",finance
b'#ICICIAcademyForSkills free course in dairy farming helped K.Swamy succeed. #ICICIDigitalVillages. Watch his motiva... https://t.co/VPd7yiEXhb',finance
"b""#ICICIBank and Australia's @Westpac join hands to facilitate online fee payment for Indian students.... https://t.co/ouieVyhAzo""",finance
b'The best of your moments can now be embedded on your #ICICIBank Expression debit card. Learn how:... https://t.co/R6b1MpMUNm',finance
b'Wondering where the deliverables dispatched by your bank have reached? Simply log on to your #ICICIBank netbanking... https://t.co/fL2nqkcUC5',finance
"b""#ICICIBank and Australia's @Westpac come together to facilitate online fee payment for Indian students.... https://t.co/fS1CpoOoOK""",finance
b'NRIs can now avail a cross-border remittance facility for sending money to their friends and family in India throu... https://t.co/ClymKMkI4x',finance
b'Why reconsider your travel plans when you can avail up to 15% discount on https://t.co/JAgNHo6pBo using your... https://t.co/KPBisBgigf',finance
"b'#ThisMonsoon, stay a notch ahead in fashion and style. Pick your favourite style on Jabong and using #ICICIBank car... https://t.co/8K7BDUl3G8'",finance
"b""Heres a glimpse of how the 'ICICI Digital Village' initiative has transformed 100 villages by enabling digital ban... https://t.co/jAxNHeN7Sw""",finance
b'#DidYouKnow that a dormant account is at a higher risk of fraud. Practice #SafeBanking with #ICICIBank. Learn more... https://t.co/FHLjEEVKPP',finance
b'Watch the Top Spenders of #FerrariCreditCard by #ICICIBank witness the #FerrariChallenge race at the Mugello Circui... https://t.co/CYfxJH4prU',finance
b'A South Indian cuisine has everyone raving! Treat your taste buds today at Vaango and avail a 20% off using your... https://t.co/8CYgZoHoqS',finance
"b'Fulfill all your dreams with #ICICIBank! Open an iWish flexible deposit by depositing any amount, anytime! Watch: https://t.co/vo3cvNdXvm'",finance
"b'#ThisMonsoon, set the trend with #ICICIBank! Get 10% instant discount on shopping at Myntra every Wednesday using y... https://t.co/SQhpii2DlD'",finance
b'RT @KirenRijiju: Leaving for Mumbai to oversee the NDRF rescue operation and to attend the Times NOW &amp; ICICI Bank 5th edition of the presti...',finance
"b'Giving wings to the dreams that deserve to come true, #ICICIAcademyforSkills initiative provides free of cost skill... https://t.co/ydB4JRCqFg'",finance
b'Why stall your travel plans when you have #ICICIBank by your side? Avail personal loans at 11.59% p.a now! For more... https://t.co/tasWcm2uHn',finance
b'If you are an #ICICIBank Money2India user you can now initiate a money transfer request with just a simple voice co... https://t.co/qwpUYDKGPg',finance
b'#Market Update | @bandhanbank_in in green after positive Q1 results.\n#ETMarkets\n\nhttps://t.co/ACJ6Gdsmjb',finance
"b'#Market Update | @bhartiairtel, @HPCL among the top losers in #Nifty.\n#ETMarkets\n\nhttps://t.co/LfVJ1czfrX'",finance
"b""Podcast | Let's talk #business and #markets\n#ETMarkets https://t.co/zUseN26LMF""",finance
"b'""There is no way we can export #sugar as our cost of production is Rs 34; the global price is at Rs 20.""... https://t.co/dnE4539d6W'",finance
b'.@KotakBankLtd Q1 results today: What to  expect\n\nhttps://t.co/o2e42HIFlP',finance
"b'#Nifty50 reclaims 11,000; #Sensex climbs 100 pts\n#ETMarkets\n\nhttps://t.co/I1PV5knrfE'",finance
b'Rising fixed deposit rates attracting investors.\n#ETMarkets\nhttps://t.co/sTlJky2Yct',finance
"b'OPENING BELL: Sensex jumps 100 pts, Nifty50 reclaims 11,000; JK Tyre, RCom climb up to 3%. Read more:... https://t.co/jvmMve2hk1'",finance
"b'Go long on #BSE, #NESCO:  G Chokkalingam.\n\n#ETMarkets\n\nhttps://t.co/MElXUvWLxC'",finance
"b""#ExpertTalk for today's markets. \n#ETMarkets\n\nhttps://t.co/ERcIMhkjCz""",finance
"b'#LIVE | #OpeningBell Thursday, 19 July, 2018 | https://t.co/gTu2vEihg5 https://t.co/Rf3a8Q04nY'",finance
b'Would #HDFC AMC be a safe bet for investors?\n#ETMarkets\n\nhttps://t.co/ZiGaMUMKfv',finance
"b""In Focus | @KotakBankLtd, #RCom and #BajajFinance among the top #stocks to track in today's session.\n\nhttps://t.co/9OLOYzQAZJ""",finance
"b""Take a look at all the #bulkdeals from #Wednesday's session.\n#ETMarkets\nhttps://t.co/MIURIUmy6r""",finance
b'What changed your #markets while you were sleeping \nhttps://t.co/dIB7D4W5eg',finance
b'#MarketMovers: Top triggers for your day on #DalalStreet #Sensex  #Nifty\nhttps://t.co/wXQ5n3o2rX',finance
"b'Reliance Industries to borrow Rs 40,000 crore for consumer #business\nhttps://t.co/hL6eUGG5lg'",finance
b'Trade setup for Thursday: Volatility to persist; stay away from creating major exposures @Milan_Vaishnav\nhttps://t.co/n2ivJDKd04',finance
b'Jhunjhunwala buys 2 crore additional #shares of JPA in June quarter \nhttps://t.co/I1ITqT2aFU',finance
"b'#Rupee pulls away from 2-week high, down 17 paise at 68.62\nhttps://t.co/EhYb3yAddM'",finance
b'After Market: 24 #stocks in oversold zone; #BandhanBank has dream run\nhttps://t.co/feuQQKg0g9',finance
"b'F&amp;O: #Nifty50 close to forming Double Top, may slip to 10,888\nhttps://t.co/F0s67P41Gs'",finance
b'#ETMarketsPodcast | Who moved your #Sensex today? Tune in to find out! https://t.co/OHR2MSj0IG',finance
b'Tech view: #Nifty forms Dark Cloud Cover; not good sign for the bulls\nhttps://t.co/SSvOyng8HH',finance
b'TCNS Clothing #IPO subscribed 10% on Day 1; QIB quota subscribed 29%\nhttps://t.co/LdtJFgdt0T',finance
"b'#Sensex, #Nifty fail to maintain positive momentum in light of No-trust motion against Modi govt.\n\n#ETMarkets\n\nhttps://t.co/0H9hx9KXKY'",finance
"b'""...market expectations are that RBI will probably need to do OMOs in the range of Rs 1-1.5 lakh crore, if not more... https://t.co/m1EyBd7dbV'",finance
b'Government hikes sugarcane price by Rs 20/quintal to Rs 275.\n#ETMarkets https://t.co/9glTp3Q0d6',finance
"b'#CLOSINGBELL: No-trust motion against @narendramodi govt drags #Sensex 147 pts lower; Nifty ends below 11,000; Asho... https://t.co/EVLmSoFbes'",finance
"b'Anant Daga, MD, TCNS Clothing Company in talks with @ETNOWlive \n#ETMarkets\n\nhttps://t.co/2i4lp8clpV'",finance
"b'#LIVE: #ClosingBell, Wednesday, 18 July, 2018 https://t.co/TmzsSlXYrl'",finance
"b'"" A lot of shorter-term portfolios and trading bets are getting liquidated and HNI money is moving into long-term i... https://t.co/0Mj1TKJEDR'",finance
b'A weak #Yuan pulls down #China stocks.\n\n#ETMarkets\n\nhttps://t.co/UO92piIxn4',finance
b'Nikkei:  Automakers and technology firms got a boost after #dollar hits a six-month high against #yen.\n\n#ETMarkets\n\nhttps://t.co/Y0gqaO77z0',finance
"b'#EarningsWithETMarkets | #UltraTechCement Q1 standalone #profit drops 33%, company beats view... https://t.co/5fLBg6bSQi'",finance
b'#Nifty #FMCG: Is the money where the index is?\n\n#ETMarkets\n\nhttps://t.co/yJYGUpizBG',finance
b'Oil struggles on both demand &amp; supply fronts.\n#ETMarkets\n\nhttps://t.co/Q5D3T2Gfsi',finance
b'@dbsbank focuses on #fintech over physical infrastructure.\n#ETMarkets\n\nhttps://t.co/FatjYYG9YF',finance
"b'#India a safe bet in the face of global trade-war volatility,\n#ETMarkets\n\nhttps://t.co/isYK3oiMno'",finance
"b""It's everyone's cup of tea after a year!\n#ETMarkets\n\nhttps://t.co/wm8Qanoqcm""",finance
b'.@bandhanbank_in Q1 net rises 48%.\n#ETMarkets\n\nhttps://t.co/vN1pDXuRtS',finance
"b'The market cap migration from smallcap and midcap to largecaps will continue, says Saurabh Mukherjea\n\n#ETMarkets\n\nhttps://t.co/OUQkuYVsAg'",finance
"b""It's a slow ascent for interest rates in the US.\n#ETMarkets\n\nhttps://t.co/L9sKN8TZ11""",finance
"b""Equity issue to parent part of HDFC Bank's Rs 24,000-crore fund raising plan.\n#ETMarkets\n\nhttps://t.co/J22AU1zLlA""",finance
b'2018 may end well for Crude.\n#ETMarkets\n\nhttps://t.co/Fgw2YoMOrN',finance
b'Berkshire frees @WarrenBuffett to buy back #stock as cash pile grows | https://t.co/v3NyS2avGj https://t.co/Qzt4WyEKKF',finance
b'Market sees sharp drop\n#ETMarkets https://t.co/0sze0FDzfc',finance
b'Going local does the trick for @ZEECorporate.\n#ETMarkets\n\nhttps://t.co/HsizaoMexR',finance
b'Do you think @TRAI is going overboard in trying to protect #dataprivacy?',finance
"b'Private retail banks are still expected to do well at the expense of public sector banks,  @AngelBrokingLtd.... https://t.co/5dNv1qD1NH'",finance
b'Check out the stocks that moved market this morning\n#ETMarkets\n\nhttps://t.co/RinIYYxSiI',finance
b'#JUSTIN https://t.co/a1I5pBq2Bt',finance
b'Stock Update | As many as 29 stocks hit fresh 52 week high\n#ETMarkets\n\nhttps://t.co/rTWb0O2z0g',finance
b'Stock Update | More than 70 stocks hit fresh 52 week lows.\n#ETMarkets\nhttps://t.co/nxhLGKIUza',finance
"b'We feel that protecting the consumers data, ensuring their safety and security is a very important thing."" RS Sharm... https://t.co/Lxh5pBSeet'",finance
b'#Nifty option OI change | https://t.co/U6OMpxQyC6 https://t.co/mwt8MEhviM',finance
b'.@ONGC_ wants its interest to be clubbed with 51% #government stake \nhttps://t.co/2egmR34HpK',finance
b'FPIs - more the merrier?\n#ETMarkets\n\nhttps://t.co/x9XOTkAotx',finance
b'100 #stocks where #promoters turned value buyers in Q1\nhttps://t.co/XCySQ6zLSy',finance
b'Forex Watch | #Dollar up against #Yen\n#ETMarkets\n\nhttps://t.co/oUbRqzjuVb',finance
"b""#UltratechCement Q1 results: Here's what top brokerages expect \nhttps://t.co/V984pQ2Kg5""",finance
b'In Pics | Indian Markets: What lies ahead? #ETMarkets\nhttps://t.co/fRbYWvEOez https://t.co/EW8V6JYxsZ',finance
"b'#IPO Watch: Brand strength, fair pricing make #TCNS a long-term buy | https://t.co/9AiQ8ETKI4 https://t.co/jMx7WGlmJY'",finance
b'#Sensex hits fresh all time high! https://t.co/aIw01mtZyL',finance
"b'#OPENINGBELL: #Sensex climbs 200 pts to hit fresh all-time high; Nifty above 11,050; IOB rallies 12%; India VIX eas... https://t.co/hCHtiGcfcZ'",finance
"b'#LIVE: #OpeningBell, Wednesday, 18 July, 2018 | https://t.co/U6OMpy89tE https://t.co/MBpTf9CbDu'",finance
"b""Podcast | Let's talk #business &amp; #markets https://t.co/OddpZQ1SoV""",finance
"b'Pre-open session: Sensex surges 200 pts, Nifty50 tops 11,100; Rupee opens at 68.42 against dollar.\n\nhttps://t.co/zFsEbIDtdm'",finance
"b""#ExpertTalk for today's markets. \n#ETMarkets\n\nhttps://t.co/FhPWML3JAs""",finance
